Date;beef_data;
04.04.2024;6.710000038146973;
05.04.2024;6.619999885559082;
08.04.2024;6.599999904632568;
09.04.2024;6.559999942779541;
10.04.2024;6.460000038146973;
11.04.2024;6.436590642567820;
12.04.2024;6.409999847412109;
15.04.2024;6.039999961853027;
16.04.2024;6.036589023446281;
17.04.2024;6.039999961853027;
18.04.2024;6.099999904632568;
19.04.2024;6.079999923706055;
22.04.2024;6.150000095367432;
23.04.2024;6.090000152587891;
24.04.2024;6.050000190734863;
25.04.2024;6.010000228881836;
26.04.2024;6.130000114440918;
29.04.2024;6.170000076293945;
30.04.2024;6.119999885559082;
02.05.2024;6.070000171661377;
03.05.2024;6.239999771118164;
06.05.2024;6.010000228881836;
07.05.2024;6.019999980926514;
08.05.2024;6.079999923706055;
09.05.2024;6.239999771118164;
10.05.2024;6.340000152587891;
13.05.2024;6.190000057220459;
14.05.2024;6.190000057220459;
15.05.2024;6.289999961853027;
16.05.2024;6.789999961853027;
17.05.2024;6.869999885559082;
20.05.2024;6.989999771118164;
21.05.2024;6.940000057220459;
22.05.2024;6.340000152587891;
23.05.2024;6.409999847412109;
24.05.2024;6.550000190734863;
27.05.2024;6.480000019073486;
28.05.2024;6.460000038146973;
29.05.2024;6.320000171661377;
31.05.2024;6.199999809265137;
03.06.2024;6.116483921275067;
04.06.2024;6.050000190734863;
05.06.2024;6.084128940672457;
06.06.2024;6.119999885559082;
07.06.2024;6.099999904632568;
10.06.2024;5.949999809265137;
11.06.2024;6.260000228881836;
12.06.2024;6.150000095367432;
13.06.2024;6.130000114440918;
14.06.2024;6.159999847412109;
17.06.2024;6.099999904632568;
18.06.2024;6.289999961853027;
19.06.2024;6.46999979019165;
20.06.2024;6.579999923706055;
21.06.2024;6.449999809265137;
24.06.2024;6.429999828338623;
25.06.2024;6.409999847412109;
26.06.2024;6.360000133514404;
27.06.2024;6.71999979019165;
28.06.2024;6.679999828338623;
01.07.2024;6.690000057220459;
02.07.2024;6.849999904632568;
03.07.2024;6.699999809265137;
04.07.2024;6.78000020980835;
05.07.2024;6.860000133514404;
08.07.2024;6.889999866485596;
09.07.2024;6.760000228881836;
10.07.2024;6.670000076293945;
11.07.2024;6.829999923706055;
12.07.2024;6.820000171661377;
15.07.2024;6.820000171661377;
16.07.2024;6.869999885559082;
17.07.2024;6.900000095367432;
18.07.2024;6.590000152587891;
19.07.2024;6.550000190734863;
22.07.2024;6.510000228881836;
23.07.2024;6.320000171661377;
24.07.2024;6.269999980926514;
25.07.2024;6.179999828338623;
26.07.2024;6.320000171661377;
29.07.2024;6.199999809265137;
30.07.2024;6.309999942779541;
31.07.2024;6.289999961853027;
01.08.2024;6.460000038146973;
02.08.2024;6.46999979019165;
05.08.2024;6.619999885559082;
06.08.2024;6.619999885559082;
07.08.2024;6.940000057220459;
08.08.2024;7.289999961853027;
09.08.2024;7.510000228881836;
12.08.2024;7.519999980926514;
13.08.2024;7.46999979019165;
14.08.2024;7.590000152587891;
15.08.2024;7.539999961853027;
16.08.2024;7.449999809265137;
19.08.2024;7.710000038146973;
20.08.2024;7.840000152587891;
21.08.2024;7.900000095367432;
22.08.2024;7.91845590201833;
23.08.2024;7.949999809265137;
26.08.2024;7.78000020980835;
27.08.2024;7.789999961853027;
28.08.2024;7.639999866485596;
29.08.2024;7.519999980926514;
30.08.2024;7.489999771118164;
02.09.2024;7.239999771118164;
03.09.2024;7.139999866485596;
04.09.2024;7.409999847412109;
05.09.2024;7.199999809265137;
06.09.2024;7.012856383494534;
09.09.2024;7.036589131467890;
10.09.2024;7.050000190734863;
11.09.2024;7.039999961853027;
12.09.2024;6.980000019073486;
13.09.2024;6.909999847412109;
